,root,strategy,strategy_signal
1375,154.92773889404222,210.88922355145655,210.88922355145655
1376,155.39380437849204,211.52363665811768,211.52363665811768
1377,158.27426161008836,215.4445445173615,215.4445445173615
1378,157.7080477781824,214.67380845532932,214.67380845532932
1379,165.52040620953875,225.30807069561928,225.30807069561928
1380,161.36336123221835,219.64945853362838,219.64945853362838
1381,165.2794270603644,224.9800474118339,224.9800474118339
1382,165.05030284809695,224.66816118947722,224.66816118947722
1383,177.35222936371372,241.4136694476195,241.4136694476195
1384,175.33156998977594,238.66312723049495,238.66312723049495
1385,177.2360982218129,241.25559054889914,241.25559054889914
1386,178.59649159836536,243.1073719339092,243.1073719339092
1387,185.0345321637094,251.8708986316476,251.8708986316476
1388,190.01828465297675,258.65483351856307,258.65483351856307
1389,179.12656699357137,243.8289159861023,243.8289159861023
1390,174.7559419432675,237.87957644321054,237.87957644321054
1391,176.77539782740547,240.6284804577043,240.6284804577043
1392,175.4428759249092,238.8146380083871,238.8146380083871
1393,181.51544925598853,247.0806869670339,247.0806869670339
1394,173.81014517897717,236.59214820936094,236.59214820936094
1395,168.3928664201287,229.218092928036,229.218092928036
1396,174.5540143509629,237.60471053824918,237.60471053824918
1397,179.17779966682647,243.89865442519888,243.89865442519888
1398,178.20130828885598,242.5694443691112,242.5694443691112
1399,176.56042305596236,240.33585459898842,240.33585459898842
1400,175.65471262481822,239.10299229201914,239.10299229201914
1401,182.05267810458426,247.81196837318217,247.81196837318217
1402,181.31453394482398,246.80719898951904,246.80719898951904
1403,176.9441675885892,240.85821158364138,240.85821158364138
1404,176.00389338029626,239.57830070952753,239.57830070952753
1405,177.160840742834,241.15314929840648,241.15314929840648
1406,182.34230298632244,248.2062087259231,248.2062087259231
1407,194.5504022878243,264.8239984200823,264.8239984200823
1408,192.8371726961214,262.4919327684516,262.4919327684516
1409,187.14580194725056,254.74478066553664,254.74478066553664
1410,187.01545387911605,254.56734954134578,254.56734954134578
1411,184.72917193402768,251.4552391622667,251.4552391622667
1412,185.6321042158208,252.68431982391067,252.68431982391067
1413,188.50374335393042,256.59322440406527,256.59322440406527
1414,183.0071017537016,249.1111396109368,249.1111396109368
1415,173.22693627148655,235.7982782765331,235.7982782765331
1416,173.8222925526579,236.60868333871875,236.60868333871875
1417,163.95790527959025,223.18117844076852,223.18117844076852
1418,167.34820353115967,227.79608711358097,227.79608711358097
